"from","to","node1_string_internal_id","node2_string_internal_id","node1_external_id","node2_external_id","neighborhood_on_chromosome","gene_fusion","phylogenetic_cooccurrence","homology","coexpression","experimentally_determined_interaction","database_annotated","automated_textmining","combined_score","Tipo"
"SYT1","STX1A",1844863,1842945,"9606.ENSP00000261205","9606.ENSP00000222812",0,0,0,0,0.106,0.988,0.9,0.841,0.999,"Cerebro"
"NRAS","PIK3CA",1855051,1845446,"9606.ENSP00000358548","9606.ENSP00000263967",0,0,0,0,0.052,0.97,0.9,0.538,0.998,"Cerebro"
"PIK3R1","PIK3CA",1846375,1845446,"9606.ENSP00000274335","9606.ENSP00000263967",0,0,0,0,0.127,0.946,0.9,0.681,0.998,"Cerebro"
"EGFR","KRAS",1846445,1844404,"9606.ENSP00000275493","9606.ENSP00000256078",0,0,0,0,0,0.612,0.9,0.965,0.998,"Cerebro"
"TP53","CREBBP",1846083,1845124,"9606.ENSP00000269305","9606.ENSP00000262367",0,0,0,0,0.054,0.934,0.9,0.72,0.998,"Cerebro"
"PTEN","PIK3CA",1855586,1845446,"9606.ENSP00000361021","9606.ENSP00000263967",0,0,0,0,0.187,0.319,0.9,0.98,0.998,"Cerebro"
"CTNNB1","CDH1",1852818,1844988,"9606.ENSP00000344456","9606.ENSP00000261769",0,0,0,0,0.051,0.552,0.9,0.943,0.997,"Cerebro"
"TP53","CDKN2A",1859838,1846083,"9606.ENSP00000394932","9606.ENSP00000269305",0,0,0,0,0,0.376,0.9,0.964,0.997,"Cerebro"
"EGFR","TP53",1846445,1846083,"9606.ENSP00000275493","9606.ENSP00000269305",0,0,0,0,0,0.126,0.9,0.958,0.996,"Cerebro"
"TP53","MYC",1856789,1846083,"9606.ENSP00000367207","9606.ENSP00000269305",0,0,0,0,0.055,0.095,0.9,0.965,0.996,"Cerebro"
"TP53","PTEN",1855586,1846083,"9606.ENSP00000361021","9606.ENSP00000269305",0,0,0,0,0,0.407,0.9,0.942,0.996,"Cerebro"
"TP53","RB1",1846083,1845924,"9606.ENSP00000269305","9606.ENSP00000267163",0,0,0,0,0,0.325,0.9,0.951,0.996,"Cerebro"
"NRAS","BRAF",1855051,1847131,"9606.ENSP00000358548","9606.ENSP00000288602",0,0,0,0,0.05,0.783,0.9,0.809,0.995,"Cerebro"
"SUFU","GLI2",1855131,1854160,"9606.ENSP00000358918","9606.ENSP00000354586",0,0,0,0,0.053,0.562,0.9,0.906,0.995,"Cerebro"
"SMARCA4","ARID1A",1853627,1850249,"9606.ENSP00000350720","9606.ENSP00000320485",0,0,0,0,0.114,0.833,0.9,0.748,0.995,"Cerebro"
"EGFR","TGFA",1847571,1846445,"9606.ENSP00000295400","9606.ENSP00000275493",0,0,0,0,0,0.866,0.9,0.63,0.994,"Cerebro"
"NIPBL","STAG2",1846802,1842691,"9606.ENSP00000282516","9606.ENSP00000218089",0,0,0,0,0.568,0.668,0.9,0.678,0.994,"Cerebro"
"TP53","EP300",1846083,1845316,"9606.ENSP00000269305","9606.ENSP00000263253",0,0,0,0,0.053,0.67,0.9,0.839,0.994,"Cerebro"
"RPL5","EEF1A1",1855221,1851211,"9606.ENSP00000359345","9606.ENSP00000330054",0,0,0,0,0.83,0.503,0.9,0.449,0.994,"Cerebro"
"EGFR","PIK3CA",1846445,1845446,"9606.ENSP00000275493","9606.ENSP00000263967",0,0,0,0,0,0,0.9,0.95,0.994,"Cerebro"
"EGFR","CTNNB1",1852818,1846445,"9606.ENSP00000344456","9606.ENSP00000275493",0,0,0,0,0.055,0.512,0.9,0.894,0.994,"Cerebro"
"EGFR","PTPN11",1852389,1846445,"9606.ENSP00000340944","9606.ENSP00000275493",0,0,0,0,0,0.615,0.9,0.87,0.994,"Cerebro"
"EGFR","CDH1",1846445,1844988,"9606.ENSP00000275493","9606.ENSP00000261769",0,0,0,0,0.054,0.387,0.9,0.897,0.993,"Cerebro"
"CDKN2A","MYC",1859838,1856789,"9606.ENSP00000394932","9606.ENSP00000367207",0,0,0,0,0,0.36,0.9,0.909,0.993,"Cerebro"
"BRAF","KRAS",1847131,1844404,"9606.ENSP00000288602","9606.ENSP00000256078",0,0,0,0,0.101,0.675,0.9,0.792,0.993,"Cerebro"
"MYC","RB1",1856789,1845924,"9606.ENSP00000367207","9606.ENSP00000267163",0,0,0,0,0,0.36,0.9,0.905,0.993,"Cerebro"
"CDKN2A","RB1",1859838,1845924,"9606.ENSP00000394932","9606.ENSP00000267163",0,0,0,0,0,0.068,0.9,0.932,0.993,"Cerebro"
"CTNNB1","NOTCH1",1852818,1846535,"9606.ENSP00000344456","9606.ENSP00000277541",0,0,0,0,0.063,0.364,0.9,0.875,0.991,"Cerebro"
"VEGFA","PIK3CA",1855611,1845446,"9606.ENSP00000361125","9606.ENSP00000263967",0,0,0,0,0,0,0.9,0.915,0.991,"Cerebro"
"CENPF","FOXM1",1854480,1852579,"9606.ENSP00000355922","9606.ENSP00000342307",0,0,0,0,0.784,0,0.9,0.632,0.991,"Cerebro"
"CTNNB1","MYC",1856789,1852818,"9606.ENSP00000367207","9606.ENSP00000344456",0,0,0,0,0,0.329,0.9,0.856,0.989,"Cerebro"
"GLI2","PTCH1",1854160,1851463,"9606.ENSP00000354586","9606.ENSP00000332353",0,0,0,0,0.063,0.295,0.8,0.914,0.987,"Cerebro"
"EGFR","VEGFA",1855611,1846445,"9606.ENSP00000361125","9606.ENSP00000275493",0,0,0,0,0,0,0.8,0.942,0.987,"Cerebro"
"PIK3CA","KRAS",1845446,1844404,"9606.ENSP00000263967","9606.ENSP00000256078",0,0,0,0,0.096,0.879,0,0.896,0.987,"Cerebro"
"EGFR","PLCG1",1846445,1843693,"9606.ENSP00000275493","9606.ENSP00000244007",0,0,0,0,0,0.527,0.9,0.736,0.986,"Cerebro"
"CTNNB1","CREBBP",1852818,1845124,"9606.ENSP00000344456","9606.ENSP00000262367",0,0,0,0,0.053,0.642,0.9,0.644,0.986,"Cerebro"
"NOTCH1","DLL4",1846535,1843973,"9606.ENSP00000277541","9606.ENSP00000249749",0,0,0,0.704,0.051,0.823,0.9,0.919,0.986,"Cerebro"
"NRAS","EGFR",1855051,1846445,"9606.ENSP00000358548","9606.ENSP00000275493",0,0,0,0,0,0.42,0.9,0.731,0.983,"Cerebro"
"MYC","NOTCH1",1856789,1846535,"9606.ENSP00000367207","9606.ENSP00000277541",0,0,0,0,0,0,0.9,0.845,0.983,"Cerebro"
"BRPF1","KAT6B",1857747,1847060,"9606.ENSP00000373340","9606.ENSP00000287239",0,0,0,0,0.072,0.52,0.9,0.663,0.983,"Cerebro"
"CTNNB1","SMARCA4",1853627,1852818,"9606.ENSP00000350720","9606.ENSP00000344456",0,0,0,0,0.073,0.541,0.9,0.645,0.982,"Cerebro"
